Member_number,Date,productId,items,productName,price,Category,TotalPrice,Transactions_id
1663,2015-02-07,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,2446
2632,2015-03-02,2,2,whole milk,1.8,Dairy,3.6,6083
1377,2015-03-14,31,2,curd cheese,9.2,Dairy,18.4,1367
4162,2015-12-22,32,2,red/blush wine,12.2,Beverages,24.4,11771
2270,2015-07-01,19,2,sausage,3.1,Fresh Food,6.2,4726
4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food,15.6,14368
3811,2015-04-14,32,1,red/blush wine,12.2,Beverages,12.2,10482
4766,2015-09-29,2,3,whole milk,1.8,Dairy,5.4,14124
2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food,11.0,5344
3860,2015-05-05,2,2,whole milk,1.8,Dairy,3.6,10669
4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food,6.0,14544
1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food,1.6,2140
4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food,3.0,11302
4750,2015-09-21,34,2,flour,2.1,Pantry Staples,4.2,14069
1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets,3.5999999999999996,727
1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food,29.099999999999998,2201
3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets,23.0,7869
3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food,5.4,10785
1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food,1.8,1657
2022,2015-03-04,37,2,herbs,6.5,Fresh Food,13.0,3808
2505,2015-11-30,17,1,bottled water,0.5,Beverages,0.5,5588
4851,2015-12-20,19,1,sausage,3.1,Fresh Food,3.1,14448
4293,2015-08-04,27,2,coffee,8.5,Beverages,17.0,12292
2775,2015-11-06,23,3,pork,7.2,Fresh Food,21.6,6625
3693,2015-02-18,26,1,berries,10.8,Fresh Food,10.8,10039
1202,2015-07-22,38,2,soda,0.8,Beverages,1.6,737
3699,2015-08-23,26,1,berries,10.8,Fresh Food,10.8,10062
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,2.1,11728
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,1.5,11748
4010,2015-12-29,23,1,pork,7.2,Fresh Food,7.2,11205
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,16.5,12681
3746,2015-08-17,40,1,grapes,9.4,Fresh Food,9.4,10232
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,3.1,5811
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,7.2,1850
2555,2015-12-23,2,3,whole milk,1.8,Dairy,5.4,5794
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,1.5,9846
3886,2015-09-11,38,1,soda,0.8,Beverages,0.8,10760
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,9.3,7195
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,16.5,2595
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,9.3,12281
1143,2015-04-25,38,1,soda,0.8,Beverages,0.8,523
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,13326
3337,2015-05-14,8,3,beef,19.5,Fresh Food,58.5,8699
4931,2015-05-04,2,1,whole milk,1.8,Dairy,1.8,14712
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,19.200000000000003,6050
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,7.8,13391
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,11.0,6098
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,340
2990,2015-05-23,2,2,whole milk,1.8,Dairy,3.6,7413
2426,2015-06-05,26,1,berries,10.8,Fresh Food,10.8,5298
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,4.5,13291
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,7.8,9809
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,24.6,7668
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,12.3,12691
1306,2015-06-23,2,3,whole milk,1.8,Dairy,5.4,1115
1024,2015-08-10,42,3,fish,10.2,Fresh Food,30.599999999999998,95
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,11.0,1076
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,3.5,2438
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,9.3,13426
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,1.6,8086
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,3.5999999999999996,10874
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,16.5,463
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,12.5,14362
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,15.600000000000001,9999
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,3.1,3628
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,27.599999999999998,7500
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,11.0,10366
2489,2015-05-04,2,3,whole milk,1.8,Dairy,5.4,5537
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9547
4092,2015-09-30,26,1,berries,10.8,Fresh Food,10.8,11486
3221,2015-01-13,45,2,curd,9.8,Dairy,19.6,8275
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,23.4,1007
2581,2015-08-22,38,3,soda,0.8,Beverages,2.4000000000000004,5891
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,4834
4760,2015-02-22,25,3,canned beer,1.1,Beverages,3.3000000000000003,14101
3649,2015-01-16,25,3,canned beer,1.1,Beverages,3.3000000000000003,9859
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,5.5,270
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,11142
4106,2015-08-25,2,3,whole milk,1.8,Dairy,5.4,11544
4338,2015-06-24,2,2,whole milk,1.8,Dairy,3.6,12498
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,3.0,11790
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,5.5,765
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,16.5,11011
3928,2015-07-18,16,3,butter milk,6.1,Dairy,18.299999999999997,10926
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,36.900000000000006,10540
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,3.1,13870
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,0.8,14054
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,6.2,7550
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,6911
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,28.200000000000003,12786
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,5.4,10527
2288,2015-05-31,27,1,coffee,8.5,Beverages,8.5,4797
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,7.199999999999999,4415
4554,2015-08-27,2,3,whole milk,1.8,Dairy,5.4,13290
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,7.8,8782
2999,2015-04-17,8,1,beef,19.5,Fresh Food,19.5,7449
2614,2015-06-25,2,3,whole milk,1.8,Dairy,5.4,6019
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,16.5,11374
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,23.4,9551
2587,2015-05-07,25,2,canned beer,1.1,Beverages,2.2,5912
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,13.0,10386
1923,2015-02-14,49,2,beverages,1.1,Beverages,2.2,3440
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,12.3,14391
1514,2015-08-24,2,2,whole milk,1.8,Dairy,3.6,1893
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,6.5,8033
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,0.8,1141
2794,2015-07-18,29,2,ham,15.2,Fresh Food,30.4,6699
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,1.6,5066
2238,2015-03-09,45,2,curd,9.8,Dairy,19.6,4615
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,5.4,10431
3724,2015-11-26,45,2,curd,9.8,Dairy,19.6,10143
1152,2015-03-05,2,3,whole milk,1.8,Dairy,5.4,559
4559,2015-03-16,2,1,whole milk,1.8,Dairy,1.8,13310
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,3.4499999999999997,10905
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,6.2,2587
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,0.8,4538
2206,2015-10-17,29,1,ham,15.2,Fresh Food,15.2,4491
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,0.8,2754
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,10973
3296,2015-08-17,38,2,soda,0.8,Beverages,1.6,8547
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,6.5,4685
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,5.5,12387
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,3731
2449,2015-07-08,45,3,curd,9.8,Dairy,29.400000000000002,5408
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,16.5,14659
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,1.6,6588
4187,2015-05-09,52,3,dog food,12.6,Pet Care,37.8,11863
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,5.2,1431
3427,2015-04-28,45,2,curd,9.8,Dairy,19.6,9005
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,5.5,1494
3390,2015-11-14,38,1,soda,0.8,Beverages,0.8,8877
4787,2015-08-01,8,3,beef,19.5,Fresh Food,58.5,14199
3310,2015-01-17,25,2,canned beer,1.1,Beverages,2.2,8610
1782,2015-10-10,23,3,pork,7.2,Fresh Food,21.6,2878
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,8831
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,6.2,6565
4249,2015-09-13,25,1,canned beer,1.1,Beverages,1.1,12117
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,18.8,7089
4090,2015-02-26,45,2,curd,9.8,Dairy,19.6,11476
3060,2015-07-05,25,1,canned beer,1.1,Beverages,1.1,7674
3768,2015-10-07,2,2,whole milk,1.8,Dairy,3.6,10326
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,841
1360,2015-10-23,23,3,pork,7.2,Fresh Food,21.6,1308
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,3.0,378
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,10.5,6962
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,7300
2448,2015-07-12,11,1,butter,3.2,Dairy,3.2,5401
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,3.5,805
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,3.1,7238
2270,2015-08-11,2,3,whole milk,1.8,Dairy,5.4,4729
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,3.1,10491
1482,2015-11-22,49,2,beverages,1.1,Beverages,2.2,1762
4720,2015-02-22,49,2,beverages,1.1,Beverages,2.2,13949
1344,2015-09-04,17,2,bottled water,0.5,Beverages,1.0,1253
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,9.600000000000001,5204
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,11.8,11845
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,3.1,13029
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9146
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,9.3,5379
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,2.4,6524
4389,2015-04-13,56,2,white wine,14.2,Beverages,28.4,12679
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,3.1,2472
4262,2015-10-16,57,2,meat,8.5,Fresh Food,17.0,12169
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,11.0,4050
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,5.4,13052
2460,2015-09-28,25,3,canned beer,1.1,Beverages,3.3000000000000003,5446
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,23.4,13122
2267,2015-07-03,57,3,meat,8.5,Fresh Food,25.5,4717
4891,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,14595
3962,2015-09-20,19,3,sausage,3.1,Fresh Food,9.3,11050
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,11.0,14853
2914,2015-11-30,57,1,meat,8.5,Fresh Food,8.5,7132
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,3.6,6761
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,3.6,300
3808,2015-08-18,2,2,whole milk,1.8,Dairy,3.6,10470
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,4.5,11718
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,4.5,4950
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,0.8,12995
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,1.5,6576
2620,2015-12-14,19,3,sausage,3.1,Fresh Food,9.3,6043
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,11.0,8223
1226,2015-04-13,59,1,hard cheese,4.5,Dairy,4.5,820
1395,2015-03-07,60,3,cream cheese,6.3,Dairy,18.9,1437
2465,2015-06-07,30,3,turkey,12.5,Fresh Food,37.5,5458
3572,2015-07-09,23,3,pork,7.2,Fresh Food,21.6,9571
4387,2015-05-08,2,2,whole milk,1.8,Dairy,3.6,12667
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2027
1181,2015-11-16,19,3,sausage,3.1,Fresh Food,9.3,665
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,5.4,6786
2794,2015-09-16,61,3,liquor,8.5,Beverages,25.5,6697
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,3.0,7126
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,1.8,13721
2235,2015-10-25,38,3,soda,0.8,Beverages,2.4000000000000004,4604
2353,2015-05-02,38,2,soda,0.8,Beverages,1.6,5039
3449,2015-03-08,19,1,sausage,3.1,Fresh Food,3.1,9071
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,5.4,218
1027,2015-05-17,23,1,pork,7.2,Fresh Food,7.2,105
3302,2015-05-22,23,1,pork,7.2,Fresh Food,7.2,8569
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,23.0,4572
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,6.300000000000001,4430
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,8.100000000000001,1999
1649,2015-06-30,17,2,bottled water,0.5,Beverages,1.0,2382
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,11.0,8398
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,23.4,6806
2703,2015-05-08,25,3,canned beer,1.1,Beverages,3.3000000000000003,6346
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,3.6,8687
2473,2015-07-01,57,1,meat,8.5,Fresh Food,8.5,5487
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,5.5,6770
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,15.6,126
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,7.8,12015
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,3.0,9975
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,12.3,4516
1507,2015-06-22,10,1,chicken,7.2,Fresh Food,7.2,1863
2870,2015-01-21,10,3,chicken,7.2,Fresh Food,21.6,6985
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,9013
4148,2015-04-09,25,1,canned beer,1.1,Beverages,1.1,11715
2970,2015-12-30,30,1,turkey,12.5,Fresh Food,12.5,7343
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,3771
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,9.3,11074
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,4.5,7039
3935,2015-07-02,19,2,sausage,3.1,Fresh Food,6.2,10946
3283,2015-05-01,2,1,whole milk,1.8,Dairy,1.8,8495
3268,2015-11-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,8453
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food,1.5,9970
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages,22.4,9266
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food,3.0,1483
2440,2015-06-06,19,3,sausage,3.1,Fresh Food,9.3,5360
4088,2015-01-13,10,2,chicken,7.2,Fresh Food,14.4,11468
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food,12.3,5475
4229,2015-03-06,19,3,sausage,3.1,Fresh Food,9.3,12044
2728,2015-08-02,8,1,beef,19.5,Fresh Food,19.5,6441
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food,1.5,13846
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy,4.2,6858
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets,7.2,1132
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal,6.4,2788
3656,2015-03-02,8,2,beef,19.5,Fresh Food,39.0,9881
3720,2015-05-28,19,2,sausage,3.1,Fresh Food,6.2,10131
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food,16.5,7437
1949,2015-07-22,25,1,canned beer,1.1,Beverages,1.1,3553
4498,2015-02-11,50,1,bottled beer,1.8,Beverages,1.8,13071
2447,2015-12-28,66,1,onions,1.3,Fresh Food,1.3,5399
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food,7.8,3562
4099,2015-01-27,17,2,bottled water,0.5,Beverages,1.0,11511
1804,2015-03-12,8,1,beef,19.5,Fresh Food,19.5,2974
1510,2015-05-16,19,3,sausage,3.1,Fresh Food,9.3,1877
2879,2015-04-18,67,3,hair spray,5.4,Personal Care,16.200000000000003,7017
4899,2015-03-12,10,1,chicken,7.2,Fresh Food,7.2,14624
4326,2015-09-29,23,1,pork,7.2,Fresh Food,7.2,12449
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food,5.4,2464
1117,2015-05-24,57,3,meat,8.5,Fresh Food,25.5,429
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food,1.6,1258
1178,2015-11-15,17,3,bottled water,0.5,Beverages,1.5,657
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food,15.6,2378
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene,23.8,13651
4243,2015-04-02,19,2,sausage,3.1,Fresh Food,6.2,12094
4429,2015-07-21,40,2,grapes,9.4,Fresh Food,18.8,12817
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food,2.5,13626
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,11243
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food,23.4,12937
3006,2015-12-27,10,2,chicken,7.2,Fresh Food,14.4,7470
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food,16.5,3088
3236,2015-07-04,26,3,berries,10.8,Fresh Food,32.400000000000006,8326
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples,7.0,2807
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food,7.8,10650
4392,2015-11-28,29,2,ham,15.2,Fresh Food,30.4,12697
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food,12.3,8683
1723,2015-09-02,18,3,yogurt,2.2,Dairy,6.6000000000000005,2635
4110,2015-03-30,38,1,soda,0.8,Beverages,0.8,11565
2600,2015-01-28,18,1,yogurt,2.2,Dairy,2.2,5966
2946,2015-10-07,38,1,soda,0.8,Beverages,0.8,7247
2426,2015-09-08,17,3,bottled water,0.5,Beverages,1.5,5299
4170,2015-05-03,19,3,sausage,3.1,Fresh Food,9.3,11805
1109,2015-04-06,7,1,citrus fruit,1.5,Fresh Food,1.5,390
3429,2015-01-04,71,1,shopping bags,5.12,Household & Hygiene,5.12,9010
2055,2015-02-04,44,2,newspapers,3.2,Specialty & Seasonal,6.4,3937
2480,2015-09-20,9,1,frankfurter,5.5,Fresh Food,5.5,5514
2441,2015-05-30,19,2,sausage,3.1,Fresh Food,6.2,5372
1054,2015-10-04,9,1,frankfurter,5.5,Fresh Food,5.5,205
4818,2015-01-11,72,2,salt,0.7,Pantry Staples,1.4,14316
3379,2015-01-21,73,3,oil,3.4,Pantry Staples,10.2,8839
3939,2015-02-10,45,1,curd,9.8,Dairy,9.8,10963
1367,2015-08-05,4,1,other vegetables,0.8,Fresh Food,0.8,1339
1043,2015-01-10,7,1,citrus fruit,1.5,Fresh Food,1.5,157
2231,2015-10-17,9,1,frankfurter,5.5,Fresh Food,5.5,4581
3235,2015-12-28,22,2,root vegetables,1.8,Fresh Food,3.6,8325
4554,2015-07-16,1,1,tropical fruit,7.8,Fresh Food,7.8,13287
3245,2015-01-24,8,3,beef,19.5,Fresh Food,58.5,8353
2996,2015-05-19,26,3,berries,10.8,Fresh Food,32.400000000000006,7436
2507,2015-01-05,25,1,canned beer,1.1,Beverages,1.1,5593
4186,2015-10-25,74,3,whipped/sour cream,5.5,Dairy,16.5,11861
3929,2015-04-28,22,1,root vegetables,1.8,Fresh Food,1.8,10930
3760,2015-11-22,2,1,whole milk,1.8,Dairy,1.8,10288
4928,2015-08-18,8,3,beef,19.5,Fresh Food,58.5,14706
4217,2015-12-18,75,1,frozen vegetables,2.5,Frozen & Processed Food,2.5,11991
1174,2015-02-11,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,639
4103,2015-06-19,2,2,whole milk,1.8,Dairy,3.6,11526
4408,2015-03-13,2,1,whole milk,1.8,Dairy,1.8,12750
2588,2015-12-28,7,2,citrus fruit,1.5,Fresh Food,3.0,5917
2598,2015-11-11,24,3,pastry,3.1,Bakery & Sweets,9.3,5957
1518,2015-12-11,9,2,frankfurter,5.5,Fresh Food,11.0,1909
2702,2015-04-08,1,2,tropical fruit,7.8,Fresh Food,15.6,6342
1001,2015-01-20,9,3,frankfurter,5.5,Fresh Food,16.5,10
2270,2015-09-30,26,2,berries,10.8,Fresh Food,21.6,4731
2838,2015-11-10,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,6864
1683,2015-05-26,22,3,root vegetables,1.8,Fresh Food,5.4,2505
4040,2015-04-03,18,2,yogurt,2.2,Dairy,4.4,11309
3897,2015-08-23,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,10797
