Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
18,11,229.58,4,4,4,444,12,STARS
66,5,228.6,3,3,4,334,10,REGULARS
17,7,228.33,4,4,4,444,12,STARS
89,7,228.22,3,4,4,344,11,LOYAL
128,5,227.36,3,3,4,334,10,REGULARS
184,9,227.2,2,4,4,244,10,LOYAL
116,5,225.65,3,3,4,334,10,REGULARS
78,9,225.41,3,4,4,344,11,LOYAL
47,6,225.4,4,4,4,444,12,STARS
31,6,224.1,4,4,4,444,12,STARS
11,9,223.85,4,4,4,444,12,STARS
3,6,223.55,4,4,4,444,12,STARS
123,5,223.5,3,3,4,334,10,REGULARS
59,9,223.34,3,4,4,344,11,LOYAL
194,9,223.29,2,4,4,244,10,LOYAL
15,9,222.7,4,4,4,444,12,STARS
91,6,222.4,3,4,4,344,11,LOYAL
183,5,222.36,2,3,4,234,9,REGULARS
131,6,222.36,3,4,4,344,11,LOYAL
301,7,221.86,1,4,4,144,9,LOYAL
120,5,221.5,3,3,4,334,10,REGULARS
96,5,221.47,3,3,4,334,10,REGULARS
125,8,221.4,3,4,4,344,11,LOYAL
38,10,221.0,4,4,4,444,12,STARS
27,7,220.45,4,4,4,444,12,STARS
13,7,220.35,4,4,4,444,12,STARS
33,6,220.04,4,4,4,444,12,STARS
51,7,220.0,4,4,4,444,12,STARS
161,6,219.8,2,4,4,244,10,LOYAL
70,3,219.2,3,2,4,324,9,REGULARS
21,5,219.0,4,3,4,434,11,REGULARS
170,11,217.85,2,4,4,244,10,LOYAL
42,8,217.85,4,4,4,444,12,STARS
226,4,217.2,2,2,4,224,8,REGULARS
371,7,216.19,1,4,4,144,9,LOYAL
52,8,215.0,4,4,4,444,12,STARS
165,6,214.9,2,4,4,244,10,LOYAL
16,6,214.2,4,4,4,444,12,STARS
73,9,214.05,3,4,4,344,11,LOYAL
75,6,213.56,3,4,4,344,11,LOYAL
264,4,213.55,2,2,4,224,8,REGULARS
29,9,213.4,4,4,4,444,12,STARS
130,6,213.34,3,4,4,344,11,LOYAL
41,9,212.9,4,4,4,444,12,STARS
33,6,212.4,4,4,4,444,12,STARS
70,7,211.9,3,4,4,344,11,LOYAL
11,7,211.84,4,4,4,444,12,STARS
18,7,211.7,4,4,4,444,12,STARS
50,7,210.64,4,4,4,444,12,STARS
28,6,210.57,4,4,4,444,12,STARS
8,8,210.51,4,4,4,444,12,STARS
212,8,209.6,2,4,4,244,10,LOYAL
57,9,209.06,4,4,4,444,12,STARS
24,7,209.02,4,4,4,444,12,STARS
70,9,208.82,3,4,4,344,11,LOYAL
119,6,208.22,3,4,4,344,11,LOYAL
50,6,207.36,4,4,4,444,12,STARS
39,10,207.32,4,4,4,444,12,STARS
110,5,207.05,3,3,4,334,10,REGULARS
12,5,206.9,4,3,4,434,11,REGULARS
28,6,206.66,4,4,4,444,12,STARS
119,6,205.9,3,4,4,344,11,LOYAL
148,10,205.7,2,4,4,244,10,LOYAL
6,5,205.6,4,3,4,434,11,REGULARS
98,9,205.6,3,4,4,344,11,LOYAL
194,10,205.44,2,4,4,244,10,LOYAL
33,7,205.26,4,4,4,444,12,STARS
80,7,205.01,3,4,4,344,11,LOYAL
190,5,205.0,2,3,4,234,9,REGULARS
28,8,204.96,4,4,4,444,12,STARS
0,5,204.76,4,3,4,434,11,REGULARS
42,5,204.15,4,3,4,434,11,REGULARS
2,7,204.0,4,4,4,444,12,STARS
63,6,203.95,3,4,4,344,11,LOYAL
45,5,203.8,4,3,4,434,11,REGULARS
91,6,203.76,3,4,4,344,11,LOYAL
13,6,203.6,4,4,4,444,12,STARS
113,7,203.5,3,4,4,344,11,LOYAL
62,6,203.26,3,4,4,344,11,LOYAL
13,6,203.1,4,4,4,444,12,STARS
169,8,202.74,2,4,4,244,10,LOYAL
128,7,201.92,3,4,4,344,11,LOYAL
124,5,201.75,3,3,4,334,10,REGULARS
41,5,201.7,4,3,4,434,11,REGULARS
319,4,201.5,1,2,4,124,7,LOST
21,9,201.2,4,4,4,444,12,STARS
23,6,201.0,4,4,4,444,12,STARS
5,9,200.3,4,4,4,444,12,STARS
25,5,200.0,4,3,4,434,11,REGULARS
31,6,199.82,4,4,4,444,12,STARS
143,7,199.6,2,4,4,244,10,LOYAL
1,7,198.7,4,4,4,444,12,STARS
103,6,198.5,3,4,4,344,11,LOYAL
226,6,197.8,2,4,4,244,10,LOYAL
217,4,197.2,2,2,4,224,8,REGULARS
69,6,197.0,3,4,4,344,11,LOYAL
7,7,196.8,4,4,4,444,12,STARS
185,6,196.8,2,4,4,244,10,LOYAL
9,7,196.3,4,4,4,444,12,STARS
240,8,196.03,2,4,4,244,10,LOYAL
216,4,195.9,2,2,4,224,8,REGULARS
134,5,195.7,3,3,4,334,10,REGULARS
14,5,195.2,4,3,4,434,11,REGULARS
163,7,194.7,2,4,4,244,10,LOYAL
319,9,194.04,1,4,4,144,9,LOYAL
138,9,193.82,3,4,4,344,11,LOYAL
38,4,193.71,4,2,4,424,10,REGULARS
39,8,193.7,4,4,4,444,12,STARS
28,8,193.5,4,4,4,444,12,STARS
35,4,193.4,4,2,4,424,10,REGULARS
9,6,193.2,4,4,4,444,12,STARS
49,7,193.0,4,4,4,444,12,STARS
270,3,192.85,2,2,4,224,8,REGULARS
150,7,192.72,2,4,4,244,10,LOYAL
91,10,192.63,3,4,4,344,11,LOYAL
98,7,192.1,3,4,4,344,11,LOYAL
263,4,192.08,2,2,4,224,8,REGULARS
104,5,191.9,3,3,4,334,10,REGULARS
65,5,191.84,3,3,4,334,10,REGULARS
131,6,191.75,3,4,4,344,11,LOYAL
45,9,191.48,4,4,4,444,12,STARS
88,4,191.35,3,2,4,324,9,REGULARS
112,2,191.1,3,1,4,314,8,REGULARS
35,6,191.04,4,4,4,444,12,STARS
51,7,190.96,4,4,4,444,12,STARS
69,7,190.16,3,4,4,344,11,LOYAL
112,7,189.93,3,4,4,344,11,LOYAL
186,5,189.9,2,3,4,234,9,REGULARS
118,7,189.76,3,4,4,344,11,LOYAL
63,8,189.73,3,4,4,344,11,LOYAL
172,5,189.7,2,3,4,234,9,REGULARS
25,7,189.7,4,4,4,444,12,STARS
152,7,189.62,2,4,4,244,10,LOYAL
32,6,188.94,4,4,4,444,12,STARS
191,6,188.9,2,4,4,244,10,LOYAL
261,4,188.1,2,2,4,224,8,REGULARS
12,5,187.8,4,3,4,434,11,REGULARS
95,6,187.8,3,4,4,344,11,LOYAL
118,6,187.5,3,4,4,344,11,LOYAL
104,6,187.4,3,4,4,344,11,LOYAL
89,8,186.75,3,4,4,344,11,LOYAL
353,8,186.46,1,4,4,144,9,LOYAL
1,5,186.05,4,3,4,434,11,REGULARS
27,7,185.9,4,4,4,444,12,STARS
51,7,185.8,4,4,4,444,12,STARS
146,5,185.8,2,3,4,234,9,REGULARS
427,7,185.54,1,4,4,144,9,LOYAL
56,7,185.5,4,4,4,444,12,STARS
52,10,184.95,4,4,4,444,12,STARS
29,7,184.44,4,4,4,444,12,STARS
1,5,184.44,4,3,4,434,11,REGULARS
131,4,184.4,3,2,4,324,9,REGULARS
223,5,183.5,2,3,4,234,9,REGULARS
127,4,183.2,3,2,4,324,9,REGULARS
57,6,183.1,4,4,4,444,12,STARS
207,6,183.1,2,4,4,244,10,LOYAL
13,7,183.1,4,4,4,444,12,STARS
199,4,182.94,2,2,4,224,8,REGULARS
137,3,182.84,3,2,4,324,9,REGULARS
151,8,182.45,2,4,4,244,10,LOYAL
211,6,182.4,2,4,4,244,10,LOYAL
100,7,182.1,3,4,4,344,11,LOYAL
185,6,182.0,2,4,4,244,10,LOYAL
136,9,181.52,3,4,4,344,11,LOYAL
170,6,181.0,2,4,4,244,10,LOYAL
124,5,180.92,3,3,4,334,10,REGULARS
324,6,180.86,1,4,4,144,9,LOYAL
157,10,180.64,2,4,4,244,10,LOYAL
68,7,180.4,3,4,4,344,11,LOYAL
198,6,180.3,2,4,4,244,10,LOYAL
60,3,180.3,3,2,4,324,9,REGULARS
54,6,180.2,4,4,4,444,12,STARS
84,7,180.0,3,4,4,344,11,LOYAL
62,5,180.0,3,3,4,334,10,REGULARS
22,5,179.9,4,3,4,434,11,REGULARS
114,9,179.8,3,4,4,344,11,LOYAL
71,5,179.76,3,3,4,334,10,REGULARS
374,5,179.64,1,3,4,134,8,LOST
3,5,179.2,4,3,4,434,11,REGULARS
45,4,179.1,4,2,4,424,10,REGULARS
31,7,178.7,4,4,4,444,12,STARS
24,5,178.54,4,3,4,434,11,REGULARS
109,7,178.26,3,4,4,344,11,LOYAL
204,6,178.2,2,4,4,244,10,LOYAL
256,6,177.8,2,4,4,244,10,LOYAL
6,6,177.76,4,4,4,444,12,STARS
82,6,177.75,3,4,4,344,11,LOYAL
38,6,177.66,4,4,4,444,12,STARS
114,4,177.5,3,2,4,324,9,REGULARS
4,4,177.32,4,2,4,424,10,REGULARS
192,7,177.2,2,4,4,244,10,LOYAL
10,5,177.1,4,3,4,434,11,REGULARS
33,5,177.1,4,3,4,434,11,REGULARS
410,5,176.95,1,3,4,134,8,LOST
92,5,176.94,3,3,4,334,10,REGULARS
86,7,176.9,3,4,4,344,11,LOYAL
46,5,176.3,4,3,4,434,11,REGULARS
5,7,176.2,4,4,4,444,12,STARS
128,6,176.2,3,4,4,344,11,LOYAL
52,5,176.2,4,3,4,434,11,REGULARS
57,4,175.9,4,2,4,424,10,REGULARS
92,6,175.74,3,4,4,344,11,LOYAL
250,5,175.55,2,3,4,234,9,REGULARS
128,5,175.42,3,3,4,334,10,REGULARS
151,3,174.9,2,2,4,224,8,REGULARS
15,6,174.7,4,4,4,444,12,STARS
79,8,174.64,3,4,4,344,11,LOYAL
0,5,174.6,4,3,4,434,11,REGULARS
66,7,174.51,3,4,4,344,11,LOYAL
49,6,174.3,4,4,4,444,12,STARS
28,5,174.3,4,3,4,434,11,REGULARS
186,8,173.62,2,4,4,244,10,LOYAL
5,6,173.4,4,4,4,444,12,STARS
184,4,173.0,2,2,4,224,8,REGULARS
22,5,172.97,4,3,4,434,11,REGULARS
40,6,172.9,4,4,4,444,12,STARS
69,7,172.5,3,4,4,344,11,LOYAL
185,7,172.04,2,4,4,244,10,LOYAL
252,7,171.85,2,4,4,244,10,LOYAL
10,6,171.56,4,4,4,444,12,STARS
184,6,171.52,2,4,4,244,10,LOYAL
14,5,171.46,4,3,4,434,11,REGULARS
0,6,171.4,4,4,4,444,12,STARS
361,4,171.1,1,2,4,124,7,LOST
0,5,171.03,4,3,4,434,11,REGULARS
166,5,170.96,2,3,4,234,9,REGULARS
2,7,170.95,4,4,4,444,12,STARS
234,4,170.9,2,2,4,224,8,REGULARS
229,4,170.9,2,2,4,224,8,REGULARS
201,8,170.72,2,4,4,244,10,LOYAL
28,5,170.7,4,3,4,434,11,REGULARS
261,6,170.5,2,4,4,244,10,LOYAL
47,6,170.12,4,4,4,444,12,STARS
247,5,170.0,2,3,4,234,9,REGULARS
147,7,169.96,2,4,4,244,10,LOYAL
57,6,169.73,4,4,4,444,12,STARS
233,3,169.7,2,2,4,224,8,REGULARS
93,6,169.45,3,4,4,344,11,LOYAL
40,6,168.74,4,4,4,444,12,STARS
42,6,168.55,4,4,4,444,12,STARS
26,7,168.51,4,4,4,444,12,STARS
164,5,168.41,2,3,4,234,9,REGULARS
226,9,168.05,2,4,4,244,10,LOYAL
333,3,167.9,1,2,4,124,7,LOST
3,6,167.54,4,4,4,444,12,STARS
127,7,167.4,3,4,4,344,11,LOYAL
9,6,167.39,4,4,4,444,12,STARS
82,7,167.3,3,4,4,344,11,LOYAL
331,6,167.22,1,4,4,144,9,LOYAL
215,7,167.15,2,4,4,244,10,LOYAL
37,6,167.0,4,4,4,444,12,STARS
85,8,166.8,3,4,4,344,11,LOYAL
137,5,166.8,3,3,4,334,10,REGULARS
15,7,166.65,4,4,4,444,12,STARS
15,8,166.65,4,4,4,444,12,STARS
47,6,166.19,4,4,4,444,12,STARS
305,4,166.1,1,2,4,124,7,LOST
6,6,166.0,4,4,4,444,12,STARS
59,7,165.9,3,4,4,344,11,LOYAL
276,5,165.9,2,3,4,234,9,REGULARS
98,7,165.85,3,4,4,344,11,LOYAL
34,6,165.52,4,4,4,444,12,STARS
97,7,165.5,3,4,4,344,11,LOYAL
39,5,165.5,4,3,4,434,11,REGULARS
267,5,165.5,2,3,4,234,9,REGULARS
479,4,165.35,1,2,4,124,7,LOST
219,5,165.2,2,3,4,234,9,REGULARS
227,7,165.02,2,4,4,244,10,LOYAL
4,6,164.86,4,4,4,444,12,STARS
34,5,164.7,4,3,4,434,11,REGULARS
127,7,164.7,3,4,4,344,11,LOYAL
81,6,164.2,3,4,4,344,11,LOYAL
37,6,164.05,4,4,4,444,12,STARS
99,4,164.0,3,2,4,324,9,REGULARS
68,9,163.94,3,4,4,344,11,LOYAL
27,5,163.9,4,3,4,434,11,REGULARS
26,8,163.9,4,4,4,444,12,STARS
42,6,163.8,4,4,4,444,12,STARS
189,3,163.7,2,2,4,224,8,REGULARS
38,8,163.66,4,4,4,444,12,STARS
1,6,163.32,4,4,4,444,12,STARS
134,8,163.15,3,4,4,344,11,LOYAL
7,7,163.14,4,4,4,444,12,STARS
156,7,163.0,2,4,4,244,10,LOYAL
151,6,162.93,2,4,4,244,10,LOYAL
76,5,162.9,3,3,4,334,10,REGULARS
56,8,162.74,4,4,4,444,12,STARS
56,5,162.5,4,3,4,434,11,REGULARS
86,6,162.5,3,4,4,344,11,LOYAL
273,5,162.1,2,3,4,234,9,REGULARS
1,5,161.84,4,3,4,434,11,REGULARS
36,6,161.76,4,4,4,444,12,STARS
111,8,161.7,3,4,4,344,11,LOYAL
309,3,161.45,1,2,4,124,7,LOST
216,5,161.4,2,3,4,234,9,REGULARS
49,6,161.4,4,4,4,444,12,STARS
139,6,161.3,3,4,4,344,11,LOYAL
60,7,161.3,3,4,4,344,11,LOYAL
359,4,161.2,1,2,4,124,7,LOST
64,8,161.1,3,4,4,344,11,LOYAL
50,6,161.05,4,4,4,444,12,STARS
265,7,160.8,2,4,4,244,10,LOYAL
51,4,160.65,4,2,4,424,10,REGULARS
190,7,160.6,2,4,4,244,10,LOYAL
17,7,160.6,4,4,4,444,12,STARS
14,7,160.55,4,4,4,444,12,STARS
38,10,160.32,4,4,4,444,12,STARS
227,6,160.3,2,4,4,244,10,LOYAL
52,3,160.12,4,2,4,424,10,REGULARS
132,5,160.1,3,3,4,334,10,REGULARS
38,4,160.1,4,2,4,424,10,REGULARS
45,6,160.0,4,4,4,444,12,STARS
64,6,159.6,3,4,4,344,11,LOYAL
241,5,159.5,2,3,4,234,9,REGULARS
132,6,159.42,3,4,4,344,11,LOYAL
104,4,159.4,3,2,4,324,9,REGULARS
2,4,159.4,4,2,4,424,10,REGULARS
134,5,159.3,3,3,4,334,10,REGULARS
201,6,159.3,2,4,4,244,10,LOYAL
128,4,159.24,3,2,4,324,9,REGULARS
38,5,159.22,4,3,4,434,11,REGULARS
127,8,159.0,3,4,4,344,11,LOYAL
79,6,158.98,3,4,4,344,11,LOYAL
19,6,158.91,4,4,4,444,12,STARS
14,7,158.9,4,4,4,444,12,STARS
19,8,158.74,4,4,4,444,12,STARS
33,4,158.66,4,2,4,424,10,REGULARS
182,9,158.6,2,4,4,244,10,LOYAL
129,8,158.6,3,4,4,344,11,LOYAL
192,5,158.6,2,3,4,234,9,REGULARS
40,8,158.5,4,4,4,444,12,STARS
27,5,158.1,4,3,4,434,11,REGULARS
89,5,157.8,3,3,4,334,10,REGULARS
82,6,157.7,3,4,4,344,11,LOYAL
32,3,157.69,4,2,4,424,10,REGULARS
186,8,157.6,2,4,4,244,10,LOYAL
109,7,157.52,3,4,4,344,11,LOYAL
97,6,157.5,3,4,4,344,11,LOYAL
57,4,157.5,4,2,4,424,10,REGULARS
361,5,157.4,1,3,4,134,8,LOST
31,8,157.4,4,4,4,444,12,STARS
317,5,157.25,1,3,4,134,8,LOST
92,5,157.05,3,3,4,334,10,REGULARS
6,9,157.05,4,4,4,444,12,STARS
307,4,157.0,1,2,4,124,7,LOST
215,8,156.98,2,4,4,244,10,LOYAL
116,6,156.95,3,4,4,344,11,LOYAL
177,8,156.9,2,4,4,244,10,LOYAL
66,4,156.6,3,2,4,324,9,REGULARS
175,4,156.6,2,2,4,224,8,REGULARS
93,5,156.55,3,3,4,334,10,REGULARS
175,4,156.5,2,2,4,224,8,REGULARS
88,5,156.4,3,3,4,334,10,REGULARS
30,5,156.25,4,3,4,434,11,REGULARS
222,4,156.22,2,2,4,224,8,REGULARS
96,10,156.15,3,4,4,344,11,LOYAL
198,4,156.1,2,2,4,224,8,REGULARS
131,4,156.0,3,2,4,324,9,REGULARS
188,5,156.0,2,3,4,234,9,REGULARS
64,7,156.0,3,4,4,344,11,LOYAL
6,7,155.98,4,4,4,444,12,STARS
88,2,155.9,3,1,4,314,8,REGULARS
40,7,155.9,4,4,4,444,12,STARS
29,7,155.76,4,4,4,444,12,STARS
238,5,155.7,2,3,4,234,9,REGULARS
59,7,155.66,3,4,4,344,11,LOYAL
189,6,155.6,2,4,4,244,10,LOYAL
36,9,155.6,4,4,4,444,12,STARS
92,7,155.6,3,4,4,344,11,LOYAL
138,4,155.0,3,2,4,324,9,REGULARS
43,6,154.75,4,4,4,444,12,STARS
272,6,154.6,2,4,4,244,10,LOYAL
376,6,154.44,1,4,4,144,9,LOYAL
313,2,154.35,1,1,4,114,6,LOST
37,6,154.34,4,4,4,444,12,STARS
190,5,154.3,2,3,4,234,9,REGULARS
294,4,154.3,1,2,4,124,7,LOST
42,5,154.25,4,3,4,434,11,REGULARS
283,4,154.15,1,2,4,124,7,LOST
249,8,153.97,2,4,4,244,10,LOYAL
122,6,153.96,3,4,4,344,11,LOYAL
128,9,153.76,3,4,4,344,11,LOYAL
38,6,153.6,4,4,4,444,12,STARS
33,7,153.56,4,4,4,444,12,STARS
164,3,153.4,2,2,4,224,8,REGULARS
44,6,153.36,4,4,4,444,12,STARS
139,4,153.31,3,2,4,324,9,REGULARS
277,4,153.16,2,2,4,224,8,REGULARS
4,8,153.0,4,4,4,444,12,STARS
52,5,152.7,4,3,4,434,11,REGULARS
73,10,152.56,3,4,4,344,11,LOYAL
42,8,152.54,4,4,4,444,12,STARS
70,7,152.42,3,4,4,344,11,LOYAL
87,7,152.4,3,4,4,344,11,LOYAL
43,7,152.1,4,4,4,444,12,STARS
334,4,152.04,1,2,4,124,7,LOST
246,5,152.02,2,3,4,234,9,REGULARS
183,4,151.8,2,2,4,224,8,REGULARS
30,5,151.7,4,3,4,434,11,REGULARS
124,7,151.66,3,4,4,344,11,LOYAL
118,6,151.55,3,4,4,344,11,LOYAL
98,5,151.4,3,3,4,334,10,REGULARS
78,6,151.14,3,4,4,344,11,LOYAL
53,6,151.14,4,4,4,444,12,STARS
16,5,151.06,4,3,4,434,11,REGULARS
8,3,151.0,4,2,4,424,10,REGULARS
313,5,150.72,1,3,4,134,8,LOST
183,4,150.7,2,2,4,224,8,REGULARS
153,7,150.7,2,4,4,244,10,LOYAL
47,8,150.65,4,4,4,444,12,STARS
26,10,150.58,4,4,4,444,12,STARS
331,4,150.45,1,2,4,124,7,LOST
30,4,150.4,4,2,4,424,10,REGULARS
38,7,150.3,4,4,4,444,12,STARS
81,4,150.2,3,2,4,324,9,REGULARS
2,6,150.12,4,4,4,444,12,STARS
8,4,149.9,4,2,4,424,10,REGULARS
80,6,149.8,3,4,4,344,11,LOYAL
113,8,149.79,3,4,4,344,11,LOYAL
51,7,149.5,4,4,4,444,12,STARS
58,7,149.45,3,4,4,344,11,LOYAL
35,5,149.36,4,3,4,434,11,REGULARS
213,7,149.25,2,4,4,244,10,LOYAL
73,5,149.1,3,3,4,334,10,REGULARS
116,5,149.1,3,3,4,334,10,REGULARS
149,5,148.94,2,3,4,234,9,REGULARS
244,3,148.8,2,2,4,224,8,REGULARS
359,5,148.6,1,3,4,134,8,LOST
36,5,148.6,4,3,4,434,11,REGULARS
82,7,148.52,3,4,4,344,11,LOYAL
0,6,148.4,4,4,4,444,12,STARS
135,5,148.4,3,3,4,334,10,REGULARS
23,7,148.4,4,4,4,444,12,STARS
29,4,148.4,4,2,4,424,10,REGULARS
38,3,148.3,4,2,4,424,10,REGULARS
121,6,148.01,3,4,4,344,11,LOYAL
191,7,148.0,2,4,4,244,10,LOYAL
123,7,148.0,3,4,4,344,11,LOYAL
102,4,148.0,3,2,4,324,9,REGULARS
45,7,147.94,4,4,4,444,12,STARS
247,4,147.68,2,2,4,224,8,REGULARS
54,6,147.41,4,4,4,444,12,STARS
3,6,147.35,4,4,4,444,12,STARS
86,5,147.29,3,3,4,334,10,REGULARS
34,4,147.2,4,2,4,424,10,REGULARS
198,5,147.02,2,3,4,234,9,REGULARS
196,6,146.61,2,4,4,244,10,LOYAL
27,6,146.6,4,4,4,444,12,STARS
221,5,146.6,2,3,4,234,9,REGULARS
285,3,146.4,1,2,4,124,7,LOST
128,5,146.4,3,3,4,334,10,REGULARS
65,6,146.35,3,4,4,344,11,LOYAL
53,3,146.28,4,2,4,424,10,REGULARS
285,4,146.25,1,2,4,124,7,LOST
37,6,146.2,4,4,4,444,12,STARS
181,5,146.1,2,3,4,234,9,REGULARS
241,6,145.8,2,4,4,244,10,LOYAL
41,9,145.76,4,4,4,444,12,STARS
64,8,145.52,3,4,4,344,11,LOYAL
56,6,145.5,4,4,4,444,12,STARS
30,7,145.5,4,4,4,444,12,STARS
99,6,145.5,3,4,4,344,11,LOYAL
19,6,145.44,4,4,4,444,12,STARS
98,7,145.3,3,4,4,344,11,LOYAL
35,6,145.3,4,4,4,444,12,STARS
36,6,145.23,4,4,4,444,12,STARS
56,9,145.22,4,4,4,444,12,STARS
47,7,145.2,4,4,4,444,12,STARS
10,5,145.2,4,3,4,434,11,REGULARS
8,5,145.05,4,3,4,434,11,REGULARS
23,6,145.0,4,4,4,444,12,STARS
81,4,144.9,3,2,4,324,9,REGULARS
0,5,144.87,4,3,4,434,11,REGULARS
13,4,144.7,4,2,4,424,10,REGULARS
205,5,144.65,2,3,4,234,9,REGULARS
137,7,144.61,3,4,4,344,11,LOYAL
245,6,144.6,2,4,4,244,10,LOYAL
110,5,144.6,3,3,4,334,10,REGULARS
50,7,144.4,4,4,4,444,12,STARS
95,6,144.39,3,4,4,344,11,LOYAL
13,6,144.1,4,4,4,444,12,STARS
325,4,144.02,1,2,4,124,7,LOST
195,6,144.0,2,4,4,244,10,LOYAL
200,4,143.85,2,2,4,224,8,REGULARS
279,6,143.84,2,4,4,244,10,LOYAL
225,5,143.8,2,3,4,234,9,REGULARS
46,2,143.8,4,1,4,414,9,REGULARS
81,6,143.7,3,4,4,344,11,LOYAL
32,5,143.7,4,3,4,434,11,REGULARS
68,3,143.66,3,2,4,324,9,REGULARS
75,3,143.65,3,2,4,324,9,REGULARS
110,4,143.62,3,2,4,324,9,REGULARS
84,3,143.6,3,2,4,324,9,REGULARS
66,7,143.55,3,4,4,344,11,LOYAL
74,4,143.5,3,2,4,324,9,REGULARS
80,6,143.2,3,4,4,344,11,LOYAL
279,4,143.15,2,2,4,224,8,REGULARS
1,5,143.12,4,3,4,434,11,REGULARS
50,7,143.1,4,4,4,444,12,STARS
72,4,143.0,3,2,4,324,9,REGULARS
75,6,142.9,3,4,4,344,11,LOYAL
22,6,142.9,4,4,4,444,12,STARS
77,4,142.7,3,2,4,324,9,REGULARS
56,6,142.26,4,4,4,444,12,STARS
62,7,142.24,3,4,4,344,11,LOYAL
82,5,142.2,3,3,4,334,10,REGULARS
160,7,142.1,2,4,4,244,10,LOYAL
29,4,142.1,4,2,4,424,10,REGULARS
7,6,142.05,4,4,4,444,12,STARS
116,6,142.0,3,4,4,344,11,LOYAL
173,5,141.95,2,3,4,234,9,REGULARS
90,6,141.94,3,4,4,344,11,LOYAL
203,5,141.86,2,3,4,234,9,REGULARS
276,6,141.8,2,4,4,244,10,LOYAL
139,5,141.6,3,3,4,334,10,REGULARS
